Id,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Quality,,,,
1051,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,Good,,,,
3998,6.2,0.1,0.41,1,0.04,17,76,0.98988,3.14,0.56,11.4,Good,,,,
2657,6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,Good,,,,
2212,6.4,0.15,0.4,1.3,0.053,61,146,0.99112,3.17,0.68,11,Good,,,,
1229,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,Good,,,,
4212,8.6,0,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,Disappointing,,,,
3376,7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,Disappointing,,,,
1469,7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9,Disappointing,,,,
1758,6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,Good,,,,
4286,7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,Good,,,,
1628,7.4,0.24,0.4,4.3,0.032,9,95,0.032,3.09,0.39,11.1,Good,,,,
1931,7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,Disappointing,,,,
2005,7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,Good,,,,
158,7,0.24,0.35,1.5,0.052,51,128,0.9941,3.41,0.59,10.4,Good,,,,
1573,5.6,0.28,0.28,4.2,0.044,52,158,0.044,3.35,0.44,10.7,Good,,,,
1831,6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,Good,,,,
2214,5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,Good,,,,
2673,6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,Good,,,,
2711,5.5,0.24,0.32,8.7,0.06,19,102,0.00006,3.27,0.31,10.4,Disappointing,,,,
3538,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,Good,,,,
2645,6.3,0.36,0.5,8.3,0.053,51,202,0.9955,3.2,0.51,9.6,Good,,,,
2081,6.4,0.44,0.26,2,0.054,20,180,0.9952,3.58,0.57,10,Disappointing,,,,
4627,6.5,0.32,0.45,7.7,0.022,31,97,0.99134,3.2,0.7,12.7,Good,,,,
104,5.9,0.3,0.29,1.1,0.036,23,56,0.9904,3.19,0.38,11.3,Disappointing,,,,
516,6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,Good,,,,
1991,9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,Disappointing,,,,
2026,8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10,Disappointing,,,,
457,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,Disappointing,,,,
1016,6.3,0.18,0.36,1.2,0.034,26,111,0.99074,3.16,0.51,11,Good,,,,
652,5.9,0,0.16,6.4,0.031,21,134,0.99151,3.24,0.46,12.2,Good,,,,
1107,7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,Good,,,,
605,7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,Good,,,,
1699,6.1,0.34,0.29,2.2,0.036,25,100,0.98938,3.06,0.44,11.8,Good,,,,
840,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,Disappointing,,,,
309,6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,Disappointing,,,,
3451,6.9,0.24,0.35,1,0.052,35,146,0.052,3.45,0.44,10,Good,,,,
848,6.4,0.33,0.3,7.2,0.041,42,168,0.99331,3.22,0.49,11.1,Good,,,,
803,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,Disappointing,,,,
1252,7.3,0.13,0.31,2.3,0.054,22,104,0.9924,3.24,0.92,11.5,Good,,,,
4421,7.8,0.27,0.28,1.8,0.05,21,127,0.9934,3.15,0.44,9.9,Disappointing,,,,
3040,6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,,9.2,Disappointing,,,,
2264,6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,Good,,,,
641,6.4,0.16,0.37,1.5,0.037,27,109,0.99345,3.38,0.5,9.8,Good,,,,
3212,7.1,0.16,0.25,1.3,0.034,28,123,0.9915,3.27,0.55,11.4,Good,,,,
4249,5.9,0.31,0.3,7.7,0.047,60,206,0.047,3.2,0.39,9.6,Good,,,,
997,7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,Good,,,,
4536,7,0.2,0.33,4.7,0.03,25,76,0.99202,2.88,0.54,10.5,Good,,,,
806,7.5,0.35,0.48,12.4,0.056,61,176.5,0.99803,2.97,0.52,8.8,Disappointing,,,,
3270,6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,Good,,,,
1191,6.1,0.28,0.26,1.5,0.03,25,101,0.98894,3.03,0.41,12.1,Good,,,,
3022,6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,Good,,,,
476,7.4,0.21,0.3,8.1,0.047,13,114,0.9941,3.12,0.35,10.5,Good,,,,
3328,6.2,0.17,0.3,1.1,0.037,14,79,0.037,3.5,0.54,10.3,Good,,,,
3234,7.3,0.21,0.33,1,0.037,66,144,0.9923,3.11,0.52,10.2,Good,,,,
3362,7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,Good,,,,
58,7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,Good,,,,
150,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,Good,,,,
4175,5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,Disappointing,,,,
1285,6.5,0.25,0.2,1.4,0.024,29,101,0.9916,3.24,0.54,10.8,Good,,,,
295,6.7,0.16,0.36,2,0.045,24,131,0.99284,3.3,0.59,10.5,Good,,,,
2784,6.4,0.38,0.2,5.3,0.117,57,181,0.99459,3.24,0.43,9.5,Good,,,,
4478,7.5,0.26,0.52,13.2,0.047,64,179,0.9982,3.1,0.46,9,Disappointing,,,,
3238,7.7,0.28,0.29,6.9,0.041,29,163,0.9952,3.44,0.6,10.5,Good,,,,
2009,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,Good,,,,
3011,6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,Disappointing,,,,
3683,6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,Disappointing,,,,
2128,6.4,0.29,0.3,6.5,0.209,62,156,0.99478,3.1,0.4,9.4,Disappointing,,,,
3724,7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,Good,,,,
1244,8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10,Good,,,,
1125,6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,Good,,,,
3798,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,Good,,,,
953,6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,Disappointing,,,,
3135,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,Disappointing,,,,
1157,6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,Good,,,,
2730,5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,Good,,,,
2981,7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1,Disappointing,,,,
1072,6.4,0.25,0.37,4.5,0.039,41,147,0.9921,3.18,0.4,11.1,Good,,,,
21,6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,Good,,,,
1652,8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,Good,,,,
2339,6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,Good,,,,
4613,6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,Disappointing,,,,
1340,7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4,Disappointing,,,,
4641,5.2,0.24,0.45,3.8,0.027,21,128,0.027,3.55,0.49,11.2,Good,,,,
893,7.6,0.32,0.25,9.5,0.03,15,136,0.99367,3.1,0.44,12.1,Good,,,,
1131,8.8,0.2,0.28,1.1,0.018,18,72,0.9926,2.97,0.35,10.4,Disappointing,,,,
88,6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,Good,,,,
2064,5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,Good,,,,
1634,7.9,0.18,0.36,5.9,0.058,31,132,0.058,3.25,0.52,10.9,Good,,,,
3805,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,Disappointing,,,,
194,7.1,0.36,0.4,1.95,0.033,26,118,0.98934,3.2,0.45,13.5,Good,,,,
2491,8,0.33,0.35,10,0.035,22,108,0.99457,3.12,0.36,11.6,Good,,,,
1927,7.1,0.53,0.24,0.8,0.029,29,86,0.029,3.16,0.32,9.1,Disappointing,,,,
19,7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,Good,,,,
4640,6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,Good,,,,
4576,6,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10,Good,,,,
3909,7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,Good,,,,
3474,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,Disappointing,,,,
2639,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,Good,,,,
2001,5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5,Disappointing,,,,
1196,6.9,0.31,0.34,1.6,0.032,23,128,0.9917,3.37,0.47,11.7,Good,,,,
1547,5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,Disappointing,,,,
597,6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,Disappointing,,,,
1478,6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,Good,,,,
4272,6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,Disappointing,,,,
3675,6.7,0,0.32,12.4,0.051,34,106,0.051,3.54,0.45,9.2,Good,,,,
981,7.4,0.35,0.31,17.95,0.062,42,187,1.0002,3.27,0.64,9.1,Disappointing,,,,
2859,6.2,0.25,0.42,8,0.049,53,206,0.99586,3.16,0.47,9.1,Good,,,,
263,7.4,0.23,0.38,8.6,0.052,41,150,0.99534,3.06,0.46,10.3,Disappointing,,,,
1440,8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,Good,,,,
845,7.1,0.2,0.36,11.6,0.042,45,124,0.042,2.92,0.59,9.5,Good,,,,
3412,5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,Good,,,,
1643,6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,Good,,,,
1246,8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,Good,,,,
1601,7,0.17,0.42,1,0.075,19,71,0.99103,3.32,0.62,11.4,Good,,,,
607,7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,Good,,,,
2439,7.2,0.35,0.25,5.6,0.032,23,120,0.99334,2.93,0.66,10.3,Good,,,,
2982,5.8,0.23,0.2,2,0.043,39,154,0.99226,3.21,0.39,10.2,Good,,,,
3494,5.9,0.22,0.29,4.2,0.037,69,144,0.99214,3.13,0.74,10.8,Good,,,,
2364,7.1,0.09,0.3,6.2,0.032,24,134,0.032,2.99,0.39,10.9,Good,,,,
2443,7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,Good,,,,
2563,7.5,0.18,0.45,4.6,0.041,67,158,0.9927,3.01,0.38,10.6,Good,,,,
3600,7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4,Disappointing,,,,
3840,8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,Good,,,,
1000,6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,Good,,,,
3922,6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,Good,,,,
3525,5.9,0.27,0.32,2,0.034,31,102,0.98952,3.16,0.56,12.3,Good,,,,
1443,6.3,0,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,Good,,,,
2796,6.6,0.23,0.32,1.5,0.041,8,72,0.98949,3.22,0.39,12.7,Good,,,,
3245,7,0.39,0.31,5.3,0.169,32,162,0.9965,3.2,0.48,9.4,Disappointing,,,,
451,7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,Disappointing,,,,
3261,5.2,0,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,Disappointing,,,,
2534,6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,Good,,,,
36,7.6,0.2,0.34,1.8,0.041,42,148,0.99335,3.35,0.66,11.1,Good,,,,
417,6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,Good,,,,
1648,5.9,0.22,0.38,1.3,0.046,24,90,0.99232,3.2,0.47,10,Good,,,,
3194,5.7,0.22,0.28,1.3,0.027,26,101,0.98948,3.35,0.38,12.5,Good,,,,
1293,8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,Good,,,,
1136,6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4,Disappointing,,,,
3874,7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,Good,,,,
1567,5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,Disappointing,,,,
2187,7.5,0.26,0.3,4.6,0.027,29,92,0.99085,3.15,0.38,12,Good,,,,
957,6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11,Good,,,,
517,7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,Disappointing,,,,
759,7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,Good,,,,
2040,6.8,0.28,0.39,1.4,0.036,15,115,0.9918,3.27,0.72,11.7,Disappointing,,,,
3676,7.8,0.16,0.41,1.7,0.026,29,140,0.026,3.02,0.78,12.5,Good,,,,
1615,6.2,0.2,0.29,11.8,0.035,21,93,0.99364,3.18,0.34,11.9,Good,,,,
3227,7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,Disappointing,,,,
307,7.4,0.29,0.5,1.8,0.042,35,127,0.9937,3.45,0.5,10.2,Good,,,,
2883,5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,Good,,,,
1022,6.7,0.24,0.41,2.9,0.039,48,122,0.99052,3.25,0.43,12,Disappointing,,,,
2033,9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7,Disappointing,,,,
174,7.6,0.23,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8,Good,,,,
2953,6.6,0.24,0.38,12.75,0.034,8,74,0.99386,3.1,0.57,12.9,Good,,,,
4604,6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,Good,,,,
2862,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,Good,,,,
4301,6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,Good,,,,
4107,7,0.2,0.37,2,0.03,26,136,0.9932,3.28,0.61,10.2,Good,,,,
4473,6.7,0.34,0.26,1.9,0.038,58,138,0.9893,3,0.47,12.2,Good,,,,
3075,6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,Good,,,,
2572,7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,Good,,,,
1603,7.3,0.35,0.67,8.3,0.053,10,100,0.9959,3.19,0.5,10.9,Disappointing,,,,
2886,6,0.27,0.32,3.6,0.035,36,133,0.99215,3.23,0.46,10.8,Good,,,,
1589,8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,Good,,,,
2274,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,Disappointing,,,,
1224,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,Good,,,,
2473,8.6,0.22,0.33,1.2,0.031,38,95,0.99239,2.83,0.31,10.3,Disappointing,,,,
4317,7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,Disappointing,,,,
4164,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,Disappointing,,,,
1554,6.5,0.3,0.28,11.45,0.041,29,109,0.99418,2.98,0.3,10.9,Good,,,,
1742,6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,Disappointing,,,,
3398,6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,Disappointing,,,,
3901,6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,Good,,,,
4226,7,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,Good,,,,
2503,6.1,0.32,0.33,10.7,0.036,27,98,0.99521,3.34,0.52,10.2,Good,,,,
922,8.4,0.27,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6,Good,,,,
3684,7.4,0.44,0.2,11.5,0.049,44,157,0.049,3.27,0.44,9,Disappointing,,,,
1706,6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4,Disappointing,,,,
2550,6.7,0.5,0.36,11.5,0.096,18,92,0.99642,3.11,0.49,9.6,Disappointing,,,,
381,7.6,0.23,0.4,5.2,0.066,14,91,0.99488,3.17,0.8,9.7,Disappointing,,,,
788,7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,Good,,,,
3610,6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,Good,,,,
2164,6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10,Good,,,,
1552,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,Good,,,,
2208,6.4,0.28,0.23,6,0.051,50,162,0.051,3.15,0.52,10.2,Disappointing,,,,
503,7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,Good,,,,
1895,6.9,0.22,0.32,9.3,0.04,22,110,0.9958,3.34,0.54,10.7,Good,,,,
709,6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,Good,,,,
915,5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,Good,,,,
3074,7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,Good,,,,
2580,6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,Disappointing,,,,
3926,5.5,0.32,0.45,4.9,0.028,25,191,0.9922,3.51,0.49,11.5,Good,,,,
526,6.7,0.2,0.3,1.4,0.025,17,76,0.99104,3.11,0.44,11,Good,,,,
1712,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,Good,,,,
1859,6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,Disappointing,,,,
2060,7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,Disappointing,,,,
4221,6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,Good,,,,
4031,7.7,0.18,0.53,1.2,0.041,42,167,0.9908,3.11,0.44,11.9,Disappointing,,,,
4411,7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,Good,,,,
3436,6.4,0.24,0.32,14.9,0.047,54,162,0.9968,3.28,0.5,10.2,Good,,,,
1101,6.2,0.33,0.41,16.8,0.037,58,173,0.99882,3.25,0.57,9.4,Good,,,,
2900,6.4,0.22,0.56,14.5,0.055,27,159,0.055,2.98,0.4,9.1,Disappointing,,,,
4005,6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,Disappointing,,,,
3818,7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11,Good,,,,
1896,7.6,0.31,0.52,13.2,0.042,61,148,0.99839,2.98,0.47,9.1,Good,,,,
983,6.6,0.26,0.24,7.2,0.038,28,137,0.9952,3.35,0.6,10.4,Good,,,,
4583,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,Good,,,,
4220,6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,Disappointing,,,,
4563,5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5,Disappointing,,,,
507,6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,Good,,,,
3288,7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,Good,,,,
4335,6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,Disappointing,,,,
4457,6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12,Good,,,,
486,6.7,0.27,0.12,1.3,0.041,62,138,0.9921,3.21,0.42,10,Good,,,,
3331,5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,Good,,,,
2418,7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,Disappointing,,,,
4101,6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,Disappointing,,,,
2384,5.6,0,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,Disappointing,,,,
3947,5.8,0.13,0.26,5.1,0.039,19,103,0.99478,3.36,0.47,9.3,Good,,,,
2985,7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,Good,,,,
3579,7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,Good,,,,
2494,6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,Good,,,,
1718,6.6,0.29,0.29,1.8,0.036,38,102,0.98819,3.08,0.42,13.7,Good,,,,
3560,6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,Disappointing,,,,
2522,7,0.16,0.26,7.3,0.047,30,220,0.99622,3.38,0.58,10.1,Good,,,,
4276,6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,Disappointing,,,,
3952,6.2,0.35,0.29,7.3,0.044,56,244,0.9956,3.36,0.55,10,Good,,,,
59,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,Good,,,,
3959,6.6,0,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4,Good,,,,
1920,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,Good,,,,
227,6.8,0.22,0.36,1.2,0.052,38,127,0.9933,3.04,0.54,9.2,Disappointing,,,,
2791,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,Good,,,,
4042,6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,Disappointing,,,,
1294,7.2,0.27,0.37,5.4,0.026,27,114,0.99174,3.13,0.84,12.7,Disappointing,,,,
1431,7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,Good,,,,
3454,6.6,0.22,0.35,1.4,0.05,23,83,0.99019,3.17,0.48,12,Good,,,,
2393,6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,Disappointing,,,,
3241,8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,Good,,,,
1550,7.5,0.33,0.36,2.6,0.051,26,126,0.99097,3.32,0.53,12.7,Good,,,,
2644,7.6,0.23,0.64,12.9,0.033,54,170,0.033,3,0.53,8.8,Disappointing,,,,
740,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,Good,,,,
1980,7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,Disappointing,,,,
3374,7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,Disappointing,,,,
4154,7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,Good,,,,
1146,6.4,0,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,Good,,,,
1610,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,Disappointing,,,,
3321,6.6,0.25,0.35,2.9,0.034,38,121,0.99008,3.19,0.4,12.8,Good,,,,
4472,6,0.2,0.26,14.7,0.045,53,125,0.998365,2.99,0.69,9.4,Good,,,,
1639,7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,Disappointing,,,,
3119,8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,Good,,,,
906,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,Disappointing,,,,
1435,7.2,0.16,0.32,0.8,0.04,50,121,0.9922,3.27,0.33,10,Good,,,,
450,6.6,0.28,0.34,0.8,0.037,42,119,0.9888,3.03,0.37,12.5,Good,,,,
872,6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,Disappointing,,,,
2570,7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,Good,,,,
3712,8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,Good,,,,
3109,6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,Good,,,,
4552,6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,Good,,,,
1960,6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9,Good,,,,
684,6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,Disappointing,,,,
3665,6,0.22,0.25,11.1,0.056,112,177,0.9961,3.08,0.36,9.4,Good,,,,
3802,7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,Good,,,,
3611,7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,Good,,,,
1956,6.9,0.23,0.35,6.9,0.03,45,116,0.99244,2.8,0.54,11,Good,,,,
4006,7,0.53,0.43,6.1,0.029,6,76,0.99118,3.08,0.5,12.5,Good,,,,
2966,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,Good,,,,
1868,8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,Good,,,,
4485,7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,Disappointing,,,,
4635,7.3,0.28,0.54,12.9,0.049,62,162.5,0.9984,3.06,0.45,9.1,Good,,,,
1775,6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,Disappointing,,,,
4439,6.9,0.32,0.27,16,0.034,58,185,0.99938,3.34,0.6,9,Good,,,,
1995,6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,Good,,,,
2192,6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,Disappointing,,,,
